"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Ministry Member","1","Upload Fascia","0","0","","0"
"1","Visitor Admin","3","Registration of New Visitor","2","0","","0"
"0","Recommening Authority","0","Ministry Member Dashboard - I Card Request","1","0","","0"
"0","Ministry Member","1","Registration of New member","3","0","","0"
"1","Visitor Admin","0","Pass Request for Casual Visitor","0","0","","0"
"0","Ministry Member","0","Ministry Member Dashboard - Upload Fascia","1","0","","0"
"0","Issuing Authority","0","Login","0","2","","0"
"1","Visitor Admin","1","Casual Pass- Approving Authority","0","0","","0"
"2","Recommening Authority","1","Recommening Authority - Ministry Member Pending Icard Request List","0","0","","0"
"0","Approving Authority","0","Approving Authority - Ministry Member Pending Icard Request List","0","1","","0"
"2","Visitor Admin","0","Casual Pass- Recommending Authority","0","0","","0"
"1","Visitor Admin","0","Logout","0","0","","0"
"0","Visitor Admin","1","Verify Visitor Information","0","0","","0"
"1","Ministry Member","0","I Card Request","3","0","","0"
"0","Visitor Admin","0","Available in Visitor list","1","0","","0"
"0","Recommending Authority","0","Logout","1","0","","0"
"0","Ministry Member","0","Available in List","1","0","","0"
"3","","0","","0","0","","0"
"0","Approving Authority","0","Logout","1","2","","0"
"0","TG004","0","Approving Authority - Ministry Member Pending Icard Request List","0","1","","0"
"0","Approving  Authority","0","Ministry Member Request Status List","0","1","","0"
"0","Ministry Member","1","Verify Information","0","0","","0"
"1","Visitor Admin","0","Casual Pass- Issuing Authority","0","0","","0"
"0","Issuing Authority","0","Logout","1","0","","0"
